text,is_ai_generated,source,domain,prompt_group
In accordance with the Fair Credit Reporting Act redacted redacted redacted # redacted redacted redacted # redacted redacted redacted # redacted redacted # redacted redacted # redacted redacted redacted redacted # redacted redacted redacted redacted # redacted Has violated my rights. 15 U.S.C 1681 section 602 A. States I have the right to privacy. 15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions,0,human_cfpb_complaints,dispute,5241241
"I wrote letters to redacted, TransUnion, and redacted on redacted/redacted/22 and redacted/redacted/22 requesting proof in the form of a statement or detailed payment history proving these accounts were paid late. Per the FCRA all reported accounts must be accurate and verifiable. When requested, verification must be provided within 30 days of receiving the letter. Right now, the bureaus are in violation of the FCRA and are subject to legal action. The attached accounts are the accounts in question.",0,human_cfpb_complaints,dispute,6041791
I have went over my credit report once again and i have a few accounts that i did not open. Please help me get these accounts removed they are affecting my credit score drastically. I did not open these accounts.,0,human_cfpb_complaints,dispute,7829436
"On redacted/redacted/2023 I received an alert from Experian stating that I had received a new score alert which was a redacted. It told me that my credit utilization was at redacted percent. On redacted/redacted/2023 I get another alert from Experian stating that I have received a new alert score and have lost redacted points. So I login to see what the issue was and my credit profile is exactly the same as redacted/redacted/2023. There were no changes to the accounts, The credit utilization is still at redacted percent, there were no new late payments reported or anything.",0,human_cfpb_complaints,dispute,7906783
"Upon reviewing my credit report, incorrect information is being reported to my personal credit file. The Experian and redacted Credit Reporting Agencies have not complied with the Fair Credit Reporting Act, 15 USC Section 1681i, and continues to report unverified information without providing any proof required by law. Experian and redacted have failed in properly identify and provide within the necessary time allowed by law any verifiable proof. The following information is inaccurate & I never authorized for my credit to be accessed. They have failed to provide me with the written authorization or remove these inquiries from my credit file. redacted redacted a date ; redacted a date ; redacted a date redacted redacted redacteda date",0,human_cfpb_complaints,dispute,5768845
"This is redacted redacted please do not deny my complaint by stating that I filed this by some other means than myself. This is done 100 % by me. I declare under penalty of perjury I am alleging that a person or company- without my authorization- from unauthorized use of my social security number and card used my personally-identifying information to apply for goods, services, or money ; and, was successful in creating some accounts. I have no knowledge of this and All is being investigated by the FTC.",0,human_cfpb_complaints,dispute,5369571
"Lincoln Automotive financial keeps opening and closing a charged off account from redacted. So my credit score reflects back to back charge off when that isnt the case. Also, it should have never went into collections. The vehicle was totaled and they were dealing with my insurance company. I had full coverage and Gap coverage. I received a call ramdomly saying I owed an outrageous amount for the vehicle.",0,human_cfpb_complaints,dispute,7351589
"My credit profile is inaccurate which is not fair to me. Please investigate this and fix it. I'm really sick and tired of having to contact them to no use. Should there be any updates on my inquiries, i'm going to court.",0,human_cfpb_complaints,dispute,6086390
"I appreciate your taking the time to DELETE some of the erroneous items in my credit file ; however, there are still many unverified items that need to be DELETED. The credit bureaus must verify these items under Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ). ( A ). I'm hoping that these disputed items be DELETED immediately. redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted",0,human_cfpb_complaints,dispute,7120489
There are numerous accounts listed on my credit report that I currently have no knowledge of. This was a result of malpractice or an error.,0,human_cfpb_complaints,dispute,4576292
I am writing to delete the following information from my credit report. The items I need deleted are listed in the report. I am a victim of identity theft and did not make the charge. I ask that the Items be deleted to correct my consumer report. I reported the theft of my identity to the Federal Trade Commission and I also have enclosed copies of the Federal Trade Commission 's Identity Theft Affidavit. Please delete the items as soon as possible.,0,human_cfpb_complaints,dispute,7656222
redacted redacted has a collection for an amount. I canceled them because they were too high and I got redacted I have contacted both but its still on my credit report. I disputed and they dont investigate. They always believe the perpetrators.,0,human_cfpb_complaints,dispute,7286854
"Regardless of the multiple written requests, the unverified accounts listed below are still reporting on my credit report in violation of federal law. The EQUIFAX Credit Bureau failed to comply with the Fair Credit Reporting Act, 15 USC sections 1681i within the time declared by law and continued reporting of unconfirmed information which now, given all my attempts to address it directly with the creditor, as willful negligence and non-compliance with federal statutes. Please fix and update the following accounts from my Credit Reports : redacted redacted redacted redacted redacted redacted redacted",0,human_cfpb_complaints,dispute,5278918
"redacted redacted redacted redacted redacted redacted redacted redacted, Texas redacted To Whom it may Concern, Two accounts are reporting information that isnt 100 % accurate but have been marked as verified. Please remove these accounts based on inaccurate information 15 U.S. Code 1681i Sec 5. Account Number Company Name redacted redacted redacted redacted Thank You, redacted redacted redacted",0,human_cfpb_complaints,dispute,7355518
"Its been over 30 days and the creditor has not updated the information nor has provided proof or documentation in regards to a late payment, they have not supplied this information and they must delete the alleged late payments on my credit report. Under federal law they have 30 days to complete the investigation and by failing to do so the items must be deleted from the report soon as possible",0,human_cfpb_complaints,dispute,7100354
I am a victim of identity theft and I have tried to remove these accounts from my credit reports. I have filed the correct paperwork and nothing has happened. I have asked for copies of the process per the FRCA and still nothing has happened. My paperwork is not being attached to my disputes,0,human_cfpb_complaints,dispute,7532503
"redacted/redacted/19 redacted redacted ran my credit 9 times without my consent. I gave them some information in order to get a rough estimate of what a monthly payment would be. I specifically requested that they not run my credit. However, they ran it 9 times.",0,human_cfpb_complaints,dispute,3306869
"My first payment was due to Edfinancial on redacted/redacted/2023. I made a payment and received a receipt on redacted/redacted/2023. My payment was then reversed without notifying me. I double checked and my banking information was correct. I then tried to make a payment for my redacted/redacted/2023 and redacted/redacted/2023 balance on redacted/redacted/2023. The payment has been marked as "" received '' but no money has been taken from my bank account. My credit score has also dropped redacted points since this has begun, and I have done nothing else different with my credit usage. I have already reached out to Edfinancial and they have been unresponsive.",0,human_cfpb_complaints,dispute,7894000
"Bank of America closed my checking account and would not even give me a reason for doing so. There was no justification for doing so since I was in good standing with them. There was only a fraud with someone in Texas trying to charge an amount on my debit card at a gas station. This was not even my fault. Additionally, they only gave me a same day notice on a Friday and I had to do without funds for the entire weekend. The funds I have in the account, they want me to wait 1-5 business days before I can get my money back through a cashier 's check from them that is in the account. This banking practice by Bank of Ameria is so very unfair.",0,human_cfpb_complaints,dispute,6843257
"On redacted/redacted/2023 I sent letters to Experian ( tracking number # redacted ), redacted ( tracking number # redacted ) and redacted ( tracking number # redacted ) directing them to remove personal information that I do not want on my credit report. According to the Fair Credit Reporting Act 15 USC 1681 : I have the right to privacy, and according to 15 USC 6802 : a financial institution may not, directly or through any affiliate, disclose to a nonaffiliated redacted party any nonpublic personal information. These are clear violations of my federally protected consumer rights.",0,human_cfpb_complaints,dispute,6488011
"I got email notification from redacted redacted redacted and Chase Bank that they were notified by a Third Party that because of Fraud and Theft that my account was being closed. I asked them to provide information from Third Party that provided the information. Neither organization has provided the information : redacted redacted -Closed total of 4 accounts- redacted redacted redacted redacted Chase- added me as a Authorized User and the account is a Single account under only my name. Also, reporting that the credit line was an amount and I went an amount over the limited.",0,human_cfpb_complaints,dispute,7460225
Began receiving notifications from an attorney in redacted about a debt incurred by someone with the same name as mine. Contacted the attorney by phone and the head of the collection department acknowledged it was a different person they were seeking. Affidavit 's continue to be mailed to me and served in person. Despite numerous phone calls to the attorneys they continued to contact me by mail. Found a court case registered in redacted redacted with my name listed.,0,human_cfpb_complaints,dispute,5227355
"On redacted/redacted/2021 entered into contract with redacted redacted redacted redacted, redacted redacted redacted redacted redacted redacted, redacted, Ca redacted. They offered me a no interest loan with Green Sky, redacted redacted redacted, redacted, Ga redacted. The offer was for 0 interest for 12 months. My contract with redacted redacted redacted redacted states that final payment would be due at substantial completion of projects. redacted redacted & redacted charged my Green Sky loan on redacted/redacted/2021. I immediately called Green Sky and told them that charges should not be made because I did not authorize payment and I had not received merchandise.",0,human_cfpb_complaints,dispute,4520935
"In accordance with the fair credit Reporting act redacted Account # redacted, has violated my rights. 15 USC 1681 Section 602 States I have the right to privacy. 15 USC 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions, 15 USC 1666B : A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose.",0,human_cfpb_complaints,dispute,5950941
"This account was surrendered under the property of another agency during the Covid-19 crisis in Maryland in which I have no legal right to this debt that has taken place on my account. I do not have the dates, but it was added to my credit in redacted of redacted and I know that it was a redacted debt that has been not taken off my account, but sent to a collection agency as a faulty account.",0,human_cfpb_complaints,dispute,7116362
"I appreciate your taking the time to CORRECT some of the erroneous items in my credit file ; however, there are still many items that need to be UPDATED. The 3 credit bureaus must verify these items under Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ). ( A ). I'm hoping that these disputed items be UPDATED immediately. redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted",0,human_cfpb_complaints,dispute,6394439
"Lender has applied over 70 % of payment amount of all payments on auto loan in redacted towards the principal instead of the both principal and interest. There is also a billing error from the month of a date due to the payments not being correctly applied to the account from the months of redacted redactedAccording to a date statement the past due amount includent monthly payment redacted, past due an amount and late fees of an amount reflects an amount due by a date. On a date I paid an amount for redacted and on redacted I paid an amount for redacted payment. Total that is an amount. I do not understand why my account is reflecting an amount due for redacted besides redacted payment an amount that has not been submitted yet.",0,human_cfpb_complaints,dispute,5098999
Please take a look at the attached letters and ID docs for verification that it is redacted redacted redacted redacted filing this complaint. The stuff on my credit report is wrong.,0,human_cfpb_complaints,dispute,8022672
"By the provisions of the Fair Credit Reporting Act, I am submitting this complaint to request that the following accounts which I believe appear to be inaccurate and incomplete be immediately investigated and corrected on my credit file. redacted redacted Balance : an amount, redacted redacted Balance : an amount, redacted redacted Balance : an amount, redacted redacted Balance : an amount, redacted redacted Balance : an amount, redacted redacted Balance : an amount, redacted redacted Balance : an amount",0,human_cfpb_complaints,dispute,6564809
In accordance with fair reporting act CREDCO has violated my rights. - 15 USC 1681 section 602 states i have the right to privacy. - 15 USC 1681 section 604 A section 2 : It also states a consumer reporting agency can not furnish an account without my written instructions. - 15 USC 1666B : A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for a purpose.,0,human_cfpb_complaints,dispute,7666971
"I, redacted redacted am writing to complaints on wrong information on my credit report. Following addresses inaccurate and not my current or correct addresses : redacted redacted redacted, FL redacted, redacted redacted redacted redacted, FL redacted, redacted redacted redacted redacted, FL redacted. The following inquiries areon my report that were not applied for by me : redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted PLEASE REMOVE AND DELETE ALL INACCURATE INFORMATION IMMEDIATELY",0,human_cfpb_complaints,dispute,7209180
"I filed a dispute with a date and a date in regards to the incorrect items on my credit reports. It has been well over 30 days, and I have not received any investigation results.",0,human_cfpb_complaints,dispute,4059356
"Good morning. When I got married to my husband, for some reason his home address got onto mine. Because of that, I had a hard time confirming my identity. Then when I bought my house, even the lender asked me if I lived there & own the house. Obviously, I never lived in my husband 's house ever in my life & his parents owned it. Please assist in removing that address. Thank you.",0,human_cfpb_complaints,dispute,4754569
"According to FCRA Section 605B ( a ) the CREDIT REPORTING AGENCIES shall block any information in the file of a consumer that the consumer identifies as information that resulted from an alleged identity theft, not later than 4 business days after the date of receipt. redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted",0,human_cfpb_complaints,dispute,7670590
"I sent this request that you reinvestigate the disputed Accounts from my credit report as well as update this Account from my report during the investigation period. As of this date, you have failed to respond to my request. redacted redacted redacted Balance : an amount, redacted redacted redacted Balance : an amount",0,human_cfpb_complaints,dispute,7121375
I just noticed that there have been several inquires that have been added but someone that have stolen my information. THIS IS FRAUD,0,human_cfpb_complaints,dispute,4619565
"Hello, It has come to my attention that Nationstar sent an unsolicited payment of an amount to redacted County Treasurer for property taxes. As clearly shown in the attached escrow statement prepared by Nationstar in redacted 2015, only hazard insurance is being collected in escrow. Furthermore, attached are the property tax bills that were addressed directly to me, and not Nationstar. This error has caused duplicate payments to the redacted County as I made a payment to them directly since it is not part of the Nationstar escrow.",0,human_cfpb_complaints,dispute,1441939
"This is my NUMEROUS request that I have been a victim of identity theft and that no one seems to care, that I want to dispute specific records in my credit file that do not belong to me, or that I have signed any agreement. The items I'm challenging have nothing to do with any transactions I've done or authorized to gain products, services, or money. Please remove the following items EXPERIAN redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted",0,human_cfpb_complaints,dispute,6400286
"I have been requesting, since redacted/redacted/2021, verification of these alleged debts that the Bureaus keep reporting on my credit files. However, credit bureaus and these companies - redacted redacted redacted redacted, redacted redacted redacted, redacted redacted and redacted redacted redacted failed to investigate & obtain, as mandated by law, proof of such debts. Yet, they continued to report & sell erroneous information about me. Therefore, it is quite obvious that they have deliberately violated my rights in more than one way which is punishable by law. Please remove the accounts immediately",0,human_cfpb_complaints,dispute,4400167
"Return items to store for full refund on purchases. Credit lender "" MyECP '' kept multiple pay your way payment plans instead of the one for the item purchased and one plan belonging to item. This created two plans with monthly charges, one with the incorrect amount of months listed, increasing the payment amount due to less months with a higher payment. This was not the agreed upon payment plan. The company refused to resolve this matter after multiple attempts, first time stating that the plans were incorrect. Now dealing with incorrect fees and payments and creating a hardship due to false reporting.",0,human_cfpb_complaints,dispute,5224660
"Got a Prepaid American Express gift card today redacted/redacted/2023 and tried to use it for redacted gifts for my son. Its constantly declined on every website, it says payment issue please try again and when I tried to transfer the money to my paypal just to see if it would work there it continues to say my card doesnt exist. I called the company and the card is activated and theres money on it. Basically I cant buy part of my sons gifts because I was relying on this gift card and it doesnt work at all on any website or in store.",0,human_cfpb_complaints,dispute,7936256
On redacted I disputed an account reported by TransUnion under the public records for child support. I was informed on redacted that the item was deleted from my credit report. Now I have discovered that the item has been reinserted on my credit report. In accordance with the requirements of the FCRA section 611 ( a ) ( 5 ) ( B ) ( ii ) you are required to notify me of the reinsertion in writing within 5 Business days. I received no such notification. This is a very serious violation of the FCRA. I will pursue legal action if not removed. I hearby demand that TransUnion immediately delete the item from my credit report in order to avoid legal action.,0,human_cfpb_complaints,dispute,7940047
I was emailed on redacted/redacted/2022 by Wells Fargo Fraud Detection. The email stated that unusual activity set off their Payment Card Fraud Alert. They included a few of the transactions and I realized I did not make them. I was not able to log into my Wells Fargo account online and so I called the number provided to inform them that I did not make the transactions. They said they would open an investigation as I was now overdrawn an amount. They declined to credit me while they investigated. I was due to be paid through direct deposit the following week and they said nothing could be done and that it would work to lower the overdrawn balance. redacted weeks later they finished their investigation and declined to credit me.,0,human_cfpb_complaints,dispute,5241114
"I am a human being, Citizen of the United States. I found numerous errors in my credit report. I have rights under 15 USC 1681 redacted, redacted, and Experian is govern by 15 USC 1681 And they have violated my rights numerous of times. I demand these accounts in this report be removed, according to 15 USC 1681 I have rights to privacy and I did not give redacted, Experian, and redacted written permission to furnish these accounts they placed on my credit report. I repeat, I never opened these accounts, nor did I sign anything, or documents. I never have spoken to anyone in reference to these accounts. No email, nor phone call. I repeat these accounts are fraudulent.",0,human_cfpb_complaints,dispute,6959408
"In accordance with the fair credit reporting act, the following have violated my rights under 15usc 1681 sec. 602a ,604a redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted",0,human_cfpb_complaints,dispute,6370769
"This is one of my numerous endeavor to tell you that I am a victim of identity theft and I complain to question specific records in my document coming about because of the wrongdoing. The records I am questioning connect with no exchanges acquiring any possession of goods, services or money that I have made or authorized. Assuming no one cares either way, block the noteworthy of any information in my credit record that came about due to an alleged fraud or extortion. redacted redacted redacted and redacted redacted redacted redacted redacted. Please delete these accounts immediately.",0,human_cfpb_complaints,dispute,7549399
sent a death certificate to Navient in spring redacted/redacted/2016 ..requested a cancellation of the parent plus loans as my spouse and I have poor credit and could not qualify or make payments .. Navient ignored the request and recast loans in me and my wife`s names...,0,human_cfpb_complaints,dispute,7591958
I discovered that some of the information on my credit report was incorrect when I reviewed it. Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) require the 3 credit bureaus to validate this account ( A ). It is not permissible to fail to validate this reporting accounts as unverified information without providing any proof within the time frame specified by law. My credit report includes the following erroneous information that needs to be investigated and correct : BRCLYSBANKDE redacted,0,human_cfpb_complaints,dispute,5769359
I sent a letter certified mail on redacted/redacted/2023 and requested a copy of the original contract with the original creditor with my original signature on it. I requested proof of the debt because this does not belong to me. I have never done business with the debt collection company. This is being illegally reported and if not removed I will file a civil lawsuit in the local redacted county circuit court and require the debt collector to attend in person for a violation of the FCRA. I will also be filing a complaint with the redacted as well as the FTC.,0,human_cfpb_complaints,dispute,7932006
Capital one closed my credit card after I just made a an amount deposit for the purposes of boosting my credit score. I have been having a few issues before hand with the with my wife and a girl I was dating taking my card and making unauthorized purchase. I corrected the problem on my end. And now I lost redacted on credit I needed because of it. But capital one opened me a new credit credit card with a an amount limit and double the interest,0,human_cfpb_complaints,dispute,7403982
"On redacted/redacted/2020, I sent a letter regarding inaccurate and unknown items on my credit report. To this day, over 60 days later, I have not received a response. I feel like I am being taken advantage of and ignored of my disputes. Section 611 ( a ), it is plainly stated that failure to investigate these items within 30 days gives a reason to immediately remove those items from my credit report. It has been 60 days, so they should be deleted promptly. I demand these accounts be deleted immediately or I will file for litigation due to the stress that this ordeal has caused me. My information was also impacted by the Equifax data breach and may have gotten into the hands of the wrong person.",0,human_cfpb_complaints,dispute,4134322
"redacted/redacted/2020 redacted stated returning payments to my credit card without any explanation or warning to me. Many payments were returned and totaled a little more than an amount after much back and forth dialogue I was told my only option was to pay the an amount in full. They closed the account, impacted my credit score, did not treat me as a valued customer and placed a financial burden on me.",0,human_cfpb_complaints,dispute,6801967
"In the month of redacted, JP Morgan closed two of my 2 credit cards and two my of my checking accounts and put me in a limbo. I had no idea why nor for what reason they closed my accounts. I went in and asked and sent a letter in asking why, yet I never received a clear response. Furthermore, I have no idea why a company is allowed to close an account without saying anything. This affected my credit due to the reduction of my credit line.",0,human_cfpb_complaints,dispute,4852456
"A collection company sent a letter to my friend, telling me that I need to pay a debt with an amount. I never lived on that address, but I opened a credit card with that address. The company 's name is redacted redacted, redacted redacted redacted, redacted, CA redacted, the account number is redacted, the debt amount is an amount, the original creditor is : redacted redacted redacted redacted",0,human_cfpb_complaints,dispute,7982113
"I have worked hard on removing inaccurate information from my credit report as well as updating my address, email address, and phone number to redacted. I currently am redacted and on a deferment plan. I just recently pulled my credit for my own review to find out that they are reporting that I have been late every month in a date. I'm beyond livid at this point as I mentioned before I've spent a lot of time and energy removing previous inaccuracies. My credit score was redacted now I'm below 600 due to this. This loan was from a date and is under 1,000.00 due.",0,human_cfpb_complaints,dispute,3020515
"Account # redacted is showing a delinquent balance although I paid the card of redacted/redacted/2023. I sent redacted redacted a billing error dispute pursuant to 15 USC 1666 ( b ), ( c ), ( d ), and ( e ) on redacted/redacted/2023 but received no response to the error. This account should have been updated to PIF status already and redacted will not respond to my dispute to fix the error",0,human_cfpb_complaints,dispute,6608779
